pmcid	doi	journal	year	versions	findings	title
PMC9371745	10.1073/pnas.2201968119	PNAS	2022		FS5b-tfce-border(if tight FOV);FS7-bet-volume-shell(if absolute volumes)	A hierarchy of linguistic predictions during natural language comprehension.
PMC9282369	10.1073/pnas.2118295119	PNAS	2022	5.0.10	FS7-bet-volume-shell(if absolute volumes)	Comparing human and chimpanzee temporal lobe neuroanatomy reveals modifications to human language hubs beyond the frontotemporal arcuate fas
PMC9271154	10.1073/pnas.2116673119	PNAS	2022			Adolescent development of multiscale structural wiring and functional interactions in the human connectome.
PMC9214501	10.1073/pnas.2117234119	PNAS	2022			Dynamical differential covariance recovers directional network structure in multiscale neural systems.
PMC9295807	10.1073/pnas.2120246119	PNAS	2022			Variants of the guanine riboswitch class exhibit altered ligand specificities for xanthine, guanine, or 2'-deoxyguanosine.
PMC9295729	10.1073/pnas.2116944119	PNAS	2022		FS5b-tfce-border(if tight FOV)	Neural representations of others' traits predict social decisions.
PMC9173759	10.1073/pnas.2113778119	PNAS	2022		FS1-f2z-if-Ftests-reported;FS3-tukey-taper-z-inflation;FS4-grf-smallN-LUT(if small-n groups)	Diffusion MRI-guided theta burst stimulation enhances memory and functional connectivity along the inferior longitudinal fasciculus in mild 
PMC9060497	10.1073/pnas.2118803119	PNAS	2022	6.0.3	FS1-f2z-if-Ftests-reported;FS2-flame12-Fdof-if-flame12-Ftests	The photobiology of the human circadian clock.
PMC8670431	10.1073/pnas.2101403118	PNAS	2021	5.0.9		Temporal self-compression: Behavioral and neural evidence that past and future selves are compressed as they move away from the present.
PMC8612212	10.1073/pnas.2111358118	PNAS	2021	5.0.9		The middle cingulate cortex and dorso-central insula: A mirror circuit encoding observation and execution of vitality forms.
PMC8609633	10.1073/pnas.2108713118	PNAS	2021	5.0.9		Divisive normalization unifies disparate response signatures throughout the human visual hierarchy.
PMC8609635	10.1073/pnas.2109380118	PNAS	2021		FS6-dtifit-floor+eigenvalues(if multishell/ROI-near-CSF)	Modular origins of high-amplitude cofluctuations in fine-scale functional connectivity dynamics.
PMC8285909	10.1073/pnas.2024448118	PNAS	2021			Shifting gradients of macroscale cortical organization mark the transition from childhood to adolescence.
PMC8271663	10.1073/pnas.2021913118	PNAS	2021		FS1-f2z-if-Ftests-reported;FS3-tukey-taper-z-inflation;FS4-grf-smallN-LUT(if small-n groups);FS5b-tfce-border(if tight FOV)	Dissociations between glucose metabolism and blood oxygenation in the human default mode network revealed by simultaneous PET-fMRI.
PMC8237657	10.1073/pnas.2026099118	PNAS	2021	5.0.9		Attention, awareness, and the right temporoparietal junction.
PMC7812773	10.1073/pnas.2017032118	PNAS	2021			Topographic connectivity reveals task-dependent retinotopic processing throughout the human brain.
PMC12834599	10.1016/j.cell.2025.11.039	Cell	2025		FS1-f2z-if-Ftests-reported;FS3-tukey-taper-z-inflation;FS4-grf-smallN-LUT(if small-n groups)	Stimulant medications affect arousal and reward, not attention networks.
PMC8357425	10.1016/j.cell.2021.06.012	Cell	2021			Impaired neural replay of inferred relationships in schizophrenia.
