package	category	n_papers	journals	years	top_versions	typical_pipeline_stages
WhatsHap	genomics	15	Nature=10;PNAS=4;Cell=1	2022=3;2023=3;2024=2;2025=6;2026=1	1.1=2;1.4=1;1.0=1;1.5=1;1.6=1	variant calling=5;alignment/mapping=3;differential/statistical testing=1
DELLY	genomics	15	Nature=10;PNAS=4;Science=1	2022=2;2023=2;2024=4;2025=4;2026=3	0.8.7=2;0.7.6=1;1.1.6=1;0.8.6=1;0.8.3=1	alignment/mapping=3;variant calling=1
TwoSampleMR	statgen	14	Nature=9;PNAS=5	2021=2;2022=2;2023=2;2024=2;2025=3;2026=3	0.5.6=2;0.6.2=1;0.6.15=1;0.5.10=1;0.5.1=1	differential/statistical testing=6;dimensionality reduction/clustering=1
Nilearn	neuroimaging	14	PNAS=11;Nature=2;Science=1	2021=3;2022=1;2023=2;2024=3;2025=5	0.4.2=1;0.5.2=1;0.6.2=1	differential/statistical testing=1
CaImAn	neuro-tools	14	Nature=9;PNAS=5	2022=4;2023=3;2024=4;2025=3		machine learning=4;registration=2
Medaka	genomics	13	PNAS=7;Nature=6	2022=3;2023=1;2024=4;2025=4;2026=1	1.7=1;1.5.0=1;1.11.3=1;1.9.1=1	alignment/mapping=1
Nipype	neuroimaging	13	PNAS=12;Nature=1	2021=3;2022=1;2023=2;2024=3;2025=3;2026=1	1.5.1=3;1.6.1=2;1.2.0=2;1.1.1=1;1.1.7=1	alignment/mapping=1;differential/statistical testing=1;normalisation=1
VarScan	genomics	13	PNAS=9;Nature=3;Cell=1	2021=1;2022=3;2023=4;2024=4;2025=1	2.3.8=2;2.4.3=1;2.4.2=1;2.3.9=1;2.4.1=1	variant calling=4;differential/statistical testing=2;alignment/mapping=2
PyMC	general	12	Nature=8;PNAS=4	2022=2;2023=3;2024=2;2025=2;2026=3	5.17.0=1;3.11.5=1	simulation/modelling=4;differential/statistical testing=4
CNVkit	genomics	12	Nature=6;PNAS=5;Cell=1	2021=1;2023=1;2024=3;2025=2;2026=5	0.9.8=2;0.9.10=1;0.9.9=1;0.9.6=1	visualisation=1;variant calling=1
IMPUTE2	statgen	12	Nature=7;Cell=3;PNAS=2	2021=2;2022=4;2023=3;2025=2;2026=1	2.3.2=2;2.3.1=1	variant calling=4;quality control=1
MRtrix3	neuroimaging	12	PNAS=12	2021=1;2022=4;2023=2;2024=1;2025=2;2026=2		normalisation=1;registration=1;machine learning=1
MetaPhlAn	microbiome	11	Nature=8;PNAS=3	2022=1;2023=1;2024=2;2025=2;2026=5	4.0.6=2;4.1=1;3.0.7=1	alignment/mapping=3;quantification=3
DIAMOND	phylogenetics	11	Nature=8;PNAS=2;Cell=1	2021=1;2022=2;2023=2;2024=1;2025=3;2026=2	2.0.15.153=1;2.1.8=1;2.0.13=1;2.1.7=1;0.9.22=1	alignment/mapping=8
Bracken	microbiome	11	Nature=6;PNAS=3;Lancet=2	2021=1;2022=1;2023=2;2024=3;2025=4	2.9=2;2.6.2=1	quantification=5;alignment/mapping=1
LightGBM	general	10	PNAS=7;Nature=3	2021=2;2022=1;2024=2;2025=3;2026=2		differential/statistical testing=5;machine learning=2
SLEAP	neuro-tools	10	Nature=6;PNAS=3;Science=1	2023=1;2024=3;2025=5;2026=1	1.3.3=1;1.3.0=1	machine learning=2;structure determination=1;quantification=1
jsPsych	neuro-tools	10	PNAS=7;Nature=3	2022=2;2023=3;2025=5	7.3.3=1	
OpenFOAM	physical	10	PNAS=9;Nature=1	2023=4;2024=3;2025=2;2026=1	9.0=1	simulation/modelling=4
NanoPlot	genomics	9	Nature=4;PNAS=4;Cell=1	2022=1;2023=2;2024=1;2025=2;2026=3	1.46.0=1;1.41.6=1;1.42.0=1;1.30.1=1;1.40.0=1	differential/statistical testing=3;quality control=1;alignment/mapping=1
PyMC3	general	9	Nature=5;PNAS=4	2022=2;2023=3;2024=2;2025=1;2026=1	3.11.5=1	differential/statistical testing=3;simulation/modelling=2
MNE-Python	neuroimaging	9	PNAS=6;Nature=3	2022=2;2023=2;2024=2;2025=3	0.22.0=2;0.24=1;0.23.0=1	
cryoDRGN	structbio	9	PNAS=5;Nature=4	2022=2;2024=4;2025=3	3.2.0=1;0.3.4=1	machine learning=3;dimensionality reduction/clustering=2;structure determination=2;alignment/mapping=1
pingouin	general	8	PNAS=4;Nature=3;Science=1	2022=1;2023=1;2024=2;2025=2;2026=2	0.5.4=1	differential/statistical testing=4
afex	general	8	PNAS=6;Nature=2	2022=2;2023=1;2025=3;2026=2	0.28=1;1.2.1=1	differential/statistical testing=3
Trinity	genomics	8	Nature=5;PNAS=2;Science=1	2021=1;2023=3;2024=1;2025=3	2.5.1=3;2.11.0=1;2.8.4=1;2.13.2=1	alignment/mapping=3;quality control=1;read trimming=1
BigStitcher	imaging	8	Nature=4;Science=2;PNAS=1;Cell=1	2021=1;2023=1;2024=1;2025=5		structure determination=1;alignment/mapping=1;registration=1;visualisation=1
Brian2	neuro-tools	8	Nature=4;PNAS=4	2022=3;2023=2;2024=2;2025=1	2.2.2.1=1	simulation/modelling=6;differential/statistical testing=1
xarray	general	7	Nature=5;Cell=2	2021=1;2022=1;2023=2;2024=2;2025=1	2023.6.0=1	alignment/mapping=1;differential/statistical testing=1
mothur	microbiome	7	PNAS=5;Nature=1;Cell=1	2022=3;2023=1;2024=2;2026=1	1.43.0=1;1.39=1;1.42=1	machine learning=1
CONN toolbox	neuroimaging	7	PNAS=7	2021=2;2022=2;2025=1;2026=2		alignment/mapping=1;differential/statistical testing=1;normalisation=1
Cartopy	physical	6	Nature=6	2021=1;2023=1;2024=2;2025=2	0.20.3=1	visualisation=1
Beagle	statgen	6	Nature=5;PNAS=1	2022=2;2024=3;2025=1	5.1=2	variant calling=4;differential/statistical testing=1
Rcpp	general	6	Nature=4;PNAS=2	2021=2;2023=1;2024=2;2025=1		differential/statistical testing=2;variant calling=1;dimensionality reduction/clustering=1
