package	category	n_papers	journals	years	top_versions	typical_pipeline_stages
OrthoFinder	phylogenetics	73	PNAS=51;Nature=19;Cell=3	2021=3;2022=9;2023=16;2024=14;2025=22;2026=9	2.5.4=12;2.5.5=8;2.2.7=4;2.5.2=3;2.4.0=2	dimensionality reduction/clustering=10;alignment/mapping=7;structure determination=3;visualisation=2
GSVA	genomics	71	PNAS=36;Nature=30;Cell=4;Science=1	2021=5;2022=8;2023=9;2024=13;2025=27;2026=9	1.46.0=3;1.50.5=1;1.46=1;1.44.1=1;1.44.5=1	differential/statistical testing=7;quantification=4;dimensionality reduction/clustering=4;normalisation=3
vegan	microbiome	71	PNAS=48;Nature=21;Cell=2	2021=3;2022=9;2023=10;2024=13;2025=29;2026=7	2.6=9;2.5=4;2.6.4=1;2.7=1	differential/statistical testing=14;dimensionality reduction/clustering=7;visualisation=7;quantification=4
DeepLabCut	neuro-tools	71	Nature=34;PNAS=27;Cell=9;Science=1	2021=3;2022=10;2023=14;2024=19;2025=23;2026=2	2.2.0.6=1;2.2.3=1;2.3.8=1;2.2.1.1=1;2.2.0.2=1	machine learning=13;structure determination=2;dimensionality reduction/clustering=2;quantification=1
brms	general	70	PNAS=53;Nature=14;Cell=2;Science=1	2021=8;2022=9;2023=15;2024=13;2025=22;2026=3	2.20.3=1;2.20.4=1;2.14.4=1;2.13.5=1	differential/statistical testing=47;simulation/modelling=3;normalisation=1;dimensionality reduction/clustering=1
CESM	physical	70	PNAS=56;Nature=14	2021=4;2022=22;2023=13;2024=19;2025=10;2026=2	1.2=7;1.3=2;1.2.2=1;2.1.1=1;1.2.2.1=1	simulation/modelling=24;structure determination=3
DADA2	microbiome	69	PNAS=43;Nature=25;Cell=1	2021=8;2022=9;2023=13;2024=16;2025=19;2026=4	1.10.0=2;1.30=1;1.21.0=1;1.26.0=1;1.24=1	read trimming=19;machine learning=3;differential/statistical testing=2;quantification=2
TrackMate	imaging	68	PNAS=46;Nature=15;Cell=6;Science=1	2021=7;2022=9;2023=13;2024=13;2025=18;2026=8	6.0.1=1;6.0.3=1	simulation/modelling=8;quantification=5;dimensionality reduction/clustering=2;machine learning=1
BEAST	phylogenetics	67	PNAS=41;Nature=20;Cell=4;Science=2	2021=15;2022=9;2023=8;2024=10;2025=17;2026=8	1.10.4=7;2.6.6=7;2.6.7=3;2.6=3;6.6=3	differential/statistical testing=25;structure determination=9;simulation/modelling=5;alignment/mapping=4
QGIS	physical	67	PNAS=42;Nature=25	2021=5;2022=13;2023=18;2024=10;2025=14;2026=7	3.16=3;3.22=2;3.18=2;3.14=2;3.28.6=1	alignment/mapping=6;visualisation=5;differential/statistical testing=5;machine learning=2
XGBoost	general	65	PNAS=43;Nature=18;Cell=4	2021=4;2022=10;2023=10;2024=10;2025=19;2026=12	2.0.3=1;1.7.3=1;1.5.0.1=1	machine learning=24;differential/statistical testing=18;dimensionality reduction/clustering=2;simulation/modelling=1
Stan	general	64	PNAS=48;Nature=10;Cell=3;Science=2;Lancet=1	2021=10;2022=9;2023=12;2024=17;2025=13;2026=3	2.28.1=3;2.26.11=1;2.23.0=1;2.33.1=1;2.32.5=1	differential/statistical testing=29;simulation/modelling=14;normalisation=1
scVelo	single-cell	64	Nature=38;PNAS=17;Cell=8;Science=1	2021=4;2022=11;2023=11;2024=18;2025=15;2026=5	0.2.4=7;0.2.5=4;0.24=2;0.2.2=2;0.3.2=1	dimensionality reduction/clustering=15;simulation/modelling=9;quantification=3;normalisation=2
LDSC	statgen	62	Nature=34;PNAS=21;Science=4;Cell=3	2021=5;2022=14;2023=10;2024=10;2025=12;2026=11	1.0.1=4;1.0.0=1	differential/statistical testing=41;dimensionality reduction/clustering=2;quantification=2;variant calling=2
InterProScan	phylogenetics	62	PNAS=42;Nature=18;Cell=2	2021=5;2022=12;2023=8;2024=19;2025=12;2026=6	5.34=2;5.59=2;5.52=2;5.66=1;5.47=1	dimensionality reduction/clustering=1;alignment/mapping=1
MultiQC	genomics	61	PNAS=30;Nature=27;Cell=3;Science=1	2021=6;2022=8;2023=9;2024=15;2025=16;2026=7	1.9=7;1.8=5;1.12=3;1.11=3;1.23=2	quality control=61;alignment/mapping=11;read trimming=11;visualisation=6
StringTie	genomics	61	PNAS=41;Nature=19;Cell=1	2021=6;2022=9;2023=13;2024=12;2025=16;2026=5	2.2.1=7;1.3.3b=5;2.2.3=3;1.3.4=2;1.3.6=2	alignment/mapping=28;quantification=18;read trimming=4;structure determination=2
scikit-image	imaging	61	Nature=28;PNAS=27;Cell=4;Science=2	2021=3;2022=10;2023=10;2024=15;2025=14;2026=9	0.20.0=2;0.19.2=2;1.1.1=1;0.22.0=1;0.23.2=1	dimensionality reduction/clustering=6;alignment/mapping=5;visualisation=2;differential/statistical testing=2
Kilosort	neuro-tools	60	Nature=39;PNAS=17;Cell=4	2021=2;2022=6;2023=10;2024=17;2025=18;2026=7	2.5=12;2.0=9;1.0=1;4.0=1	dimensionality reduction/clustering=14;registration=2;quality control=2;visualisation=1
QIIME 2	microbiome	59	PNAS=39;Nature=16;Cell=4	2021=11;2022=10;2023=7;2024=14;2025=14;2026=3	2020.8=2;2018.11=2;2020.11=2;1.8.0=2;2021.2.0=1	read trimming=9;dimensionality reduction/clustering=5;quantification=4;quality control=3
RoseTTAFold	structbio	59	PNAS=43;Nature=13;Science=3	2021=1;2022=7;2023=16;2024=13;2025=18;2026=4		machine learning=7;structure determination=3;dimensionality reduction/clustering=2;alignment/mapping=2
AnnData	single-cell	58	Nature=39;Cell=9;PNAS=7;Science=3	2021=3;2022=3;2023=7;2024=12;2025=19;2026=14	0.8.0=4;0.7.4=2;0.11.4=1;0.10.7=1;0.9.1=1	dimensionality reduction/clustering=9;normalisation=7;visualisation=5;simulation/modelling=2
Slingshot	single-cell	58	PNAS=28;Nature=27;Science=3	2021=3;2022=6;2023=13;2024=10;2025=17;2026=9	2.14.0=3;2.6.0=1;2.8.0=1;2.0.0=1;1.8.0=1	simulation/modelling=36;dimensionality reduction/clustering=17;visualisation=4;structure determination=3
Signac	single-cell	57	Nature=41;PNAS=12;Science=2;Cell=2	2021=4;2022=2;2023=12;2024=13;2025=21;2026=5	1.14.0=4;1.12.0=3;1.8=2;1.9.0=2;1.6.0=2	dimensionality reduction/clustering=6;normalisation=6;visualisation=3;quality control=2
ilastik	imaging	55	PNAS=27;Nature=21;Cell=6;Science=1	2021=7;2022=12;2023=9;2024=9;2025=14;2026=4	1.3.3=7;1.3.2=3;1.3.3b=1;1.3.3p=1;1.4.1r=1	machine learning=14;quantification=8;dimensionality reduction/clustering=3;registration=1
ANTs	neuroimaging	55	PNAS=44;Nature=9;Science=1;Cell=1	2021=3;2022=17;2023=10;2024=6;2025=12;2026=7	2.2.0=3;2.1=1;2.1.0=1;2.3.3=1;2.3.5=1	normalisation=29;registration=15;alignment/mapping=9;dimensionality reduction/clustering=3
Snakemake	workflow	54	Nature=24;PNAS=18;Cell=11;Science=1	2021=5;2022=9;2023=8;2024=10;2025=14;2026=8	7.21.0=2;5.5.4=2;8.18.2=1;7.24.0=1;7.15.1=1	alignment/mapping=6;dimensionality reduction/clustering=3;read trimming=3;variant calling=2
