pmcid	doi	journal	year	version	commands	features	title
PMC11725914	10.1073/pnas.2400743122	PNAS	2025	5.0	BET;FEAT;FLAME	GRF cluster correction;brain extraction (BET);group mixed effects (FLAME);task fMRI GLM (FEAT/FILM)	Memory control deficits in the sleep-deprived human brain.
PMC11670218	10.1073/pnas.2405395121	PNAS	2024		flirt		Breathing orchestrates synchronization of sleep oscillations in the human hippocampus.
PMC11648631	10.1073/pnas.2405448121	PNAS	2024				Prenatal social disadvantage is associated with alterations in functional networks at birth.
PMC11573628	10.1073/pnas.2409345121	PNAS	2024	6.0.4	dtifit;epi_reg;oxford_asl	brain extraction (BET);diffusion fitting (dtifit/bedpostx);distortion correction (topup/eddy);fieldmap (FUGUE/epi_reg)	Secondary thalamic dysfunction underlies abnormal large-scale neural dynamics in chronic stroke.
PMC11572972	10.1073/pnas.2221623121	PNAS	2024				V1 neurons are tuned to perceptual borders in natural scenes.
PMC11363287	10.1073/pnas.2400082121	PNAS	2024				High-level cognition is supported by information-rich but compressible brain activity patterns.
PMC11363304	10.1073/pnas.2402813121	PNAS	2024		FLIRT;fslmaths	linear registration (FLIRT)	Evidence of association between higher cardiorespiratory fitness and higher cerebral myelination in aging.
PMC11260090	10.1073/pnas.2307221121	PNAS	2024	6.0	FEAT;FLAME	group mixed effects (FLAME);permutation inference (randomise);task fMRI GLM (FEAT/FILM)	Callousness, exploitativeness, and tracking of cooperation incentives in the human default network.
PMC11252731	10.1073/pnas.2321346121	PNAS	2024	6.0.3	FLIRT;MCFLIRT;slicetimer	distortion correction (topup/eddy);linear registration (FLIRT);motion correction (MCFLIRT);task fMRI GLM (FEAT/FILM)	A familiar face and person processing area in the human temporal pole.
PMC11228479	10.1073/pnas.2402143121	PNAS	2024				Cholinergic macrophages promote the resolution of peritoneal inflammation.
PMC11181088	10.1073/pnas.2317707121	PNAS	2024		fnirt		Natural scenes reveal diverse representations of 2D and 3D body pose in the human brain.
PMC11145258	10.1073/pnas.2316117121	PNAS	2024			resting-state seed/dual regression	Characteristic BOLD signals are detectable in white matter of the spinal cord at rest and after a stimulus.
PMC10998591	10.1073/pnas.2314918121	PNAS	2024				Subcallosal cingulate deep brain stimulation evokes two distinct cortical responses via differential white matter activation.
PMC10962978	10.1073/pnas.2309232121	PNAS	2024	5.0.9	flirt;mcflirt		The dorsomedial prefrontal cortex prioritizes social learning during rest.
PMC10945835	10.1073/pnas.2310044121	PNAS	2024		topup	distortion correction (topup/eddy)	Insights into hippocampal perfusion using high-resolution, multi-modal 7T MRI.
PMC10907247	10.1073/pnas.2313831121	PNAS	2024		eddy_correct	diffusion fitting (dtifit/bedpostx);distortion correction (topup/eddy)	Evolutionary continuity and divergence of auditory dorsal and ventral pathways in primates revealed by ultra-high field diffusion MRI.
PMC10895353	10.1073/pnas.2306936121	PNAS	2024				The central renin-angiotensin system: A genetic pathway, functional decoding, and selective target engagement characterization in humans.
PMC10769837	10.1073/pnas.2306295121	PNAS	2024			brain extraction (BET);tissue segmentation (FAST)	Individuals who see the good in the bad engage distinctive default network coordination during post-encoding rest.
