test	outcome	seconds	walltime	mem	category	message
test_example_simulateddata_dipolefit20220113	FAIL	1	00:10:00	2gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_example_sourcerecon_meeg20220113	FAIL	1	00:10:00	2gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_example_ssvep20220113	FAIL	1	00:10:00	2gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_external_stats	PASS	3	00:10:00	1gb	pass	
test_findcluster	FAIL	1	00:20:00	6gb	mex	spm_bwlabel.c not compiled - see Makefile @ external/spm12/spm_bwlabel.m:25
test_firwsfiltering	PASS	75	00:20:00	1gb	pass	
test_ft_appendlayout	FAIL	3	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_ft_appendsens	FAIL	1	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_ft_artifact_threshold	FAIL	2	00:10:00	1gb	matlab-only	'table' undefined near line 177, column 17  The 'table' function is not yet implemented in Octave.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ ft_artifact_threshold.m:177
test_ft_average_sens	FAIL	1	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_ft_checkdata	FAIL	126	00:20:00	1gb	octave-difference	time axis is wrong @ test/test_ft_checkdata.m:355
test_ft_colormap	FAIL	2	00:10:00	1gb	matlab-only	feval: function 'parula' not found @ plotting/ft_colormap.m:223
test_ft_combineplanar	FAIL	2	00:20:00	1gb	mex	'meg_leadfield1' undefined near line 186, column 14 @ forward/ft_compute_leadfield.m:186
test_ft_componentanalysis_methods	FAIL	2	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_ft_connectivity_mutualinformation	FAIL	1	00:10:00	1gb	mex	invalid function handle, unable to find function for @direct_method_v5b @ external/ibtb/entropy.m:319
test_ft_connectivityanalysis	FAIL	18	00:10:00	2gb	dpss-hack	dpss: function called with too many outputs @ external/signal/dpss_hack/dpss.m:-1
test_ft_convert_units	FAIL	1	00:10:00	1gb	matlab-only	Invalid call to round.  Correct usage is:   -- Y = round (X) @ ../../../../../../usr/share/octave/8.4.0/m/help/print_usage.m:105
test_ft_crossfrequencyanalysis	PASS	36	00:15:00	1gb	pass	
test_ft_defacevolume	FAIL	5	00:10:00	6gb	mex	mat2file.c not compiled - see Makefile @ external/spm12/@file_array/private/mat2file.m:15
test_ft_denoise_pca	FAIL	2	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_ft_denoise_prewhiten	FAIL	2	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_ft_denoise_tsr	FAIL	3	01:30:00	6gb	matlab-only	binary operator '==' not implemented for 'cell' by 'cell' operations @ ../../../../../../usr/share/octave/8.4.0/m/general/isequal.m:117
test_ft_dipolefitting	FAIL	1	00:20:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_ft_dipolesimulation	FAIL	1	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_ft_electrodeplacement	FAIL	1	00:10:00	1gb	graphics	rotate3d: function called with too many outputs @ ../../../../../../usr/share/octave/8.4.0/m/plot/util/rotate3d.m:-1
test_ft_fetch_data	FAIL	8	00:10:00	2gb	octave-difference	NaN: dimensions must be scalars. @ test/private/ft_fetch_data.m:91
test_ft_freqbaseline	PASS	2	00:10:00	1gb	pass	
test_ft_headcircumference	FAIL	1	00:10:00		matlab-only	'strip' undefined near line 63, column 23  The 'strip' function is not yet implemented in Octave.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ utilities/dccnpath.m:63
test_ft_headmodel_bemcp	FAIL	5	03:00:00	10gb	mex	mat2file.c not compiled - see Makefile @ external/spm12/@file_array/private/mat2file.m:15
test_ft_heartrate	FAIL	1	00:10:00	1gb	matlab-only	'envelope' undefined near line 165, column 27 @ ft_heartrate.m:165
test_ft_lateralizedpotential	PASS	3	00:10:00	1gb	pass	
test_ft_meshrealign	FAIL	3	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_ft_mvaranalysis	PASS	3	00:10:00	1gb	pass	
test_ft_plot_axes	FAIL	2	00:10:00	1gb	graphics	getframe: not implemented for gnuplot graphics toolkit @ ../../../../../../usr/share/octave/8.4.0/m/image/getframe.m:76
test_ft_plot_cloud	FAIL	1	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_ft_plot_crosshair	FAIL	2	00:10:00	1gb	graphics	getframe: not implemented for gnuplot graphics toolkit @ ../../../../../../usr/share/octave/8.4.0/m/image/getframe.m:76
test_ft_plot_headshape	FAIL	1	00:10:00	1gb	graphics	__go_patch__: invalid value for array property "cdata", unable to create graphics handle @ ../../../../../../usr/share/octave/8.4.0/m/plot/draw/private/__patch__.m:182
test_ft_plot_montage	FAIL	1	00:10:00	1gb	octave-difference	surface: Z and C must have the same size @ ../../../../../../usr/share/octave/8.4.0/m/plot/draw/surface.m:103
test_ft_plot_ortho	FAIL	1	00:10:00	1gb	octave-difference	surface: Z and C must have the same size @ ../../../../../../usr/share/octave/8.4.0/m/plot/draw/surface.m:103
test_ft_plot_sens	FAIL	1	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_ft_plot_slice	FAIL	1	00:10:00	1gb	octave-difference	surface: Z and C must have the same size @ ../../../../../../usr/share/octave/8.4.0/m/plot/draw/surface.m:103
test_ft_prepare_leadfield	FAIL	1	00:20:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_ft_prepare_mesh	FAIL	2	00:10:00	1gb	mex	spm_bwlabel.c not compiled - see Makefile @ external/spm12/spm_bwlabel.m:25
test_ft_prepare_montage	FAIL	2	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_ft_preproc_bandpassfilter	PASS	3	00:10:00	1gb	pass	
test_ft_preproc_bandstopfilter	PASS	2	00:10:00	1gb	pass	
test_ft_preproc_denoise	PASS	1	00:10:00	1gb	pass	
test_ft_preproc_dftfilter	FAIL	2	00:10:00	1gb	octave-difference	Invalid call to ifft.  Correct usage is:   -- X = ifft (Y)  -- X = ifft (Y, N)  -- X = ifft (Y, N, DIM) @ ../../../../../../usr/share/octave/8.4.0/m/help/print_usage.m:105
test_ft_preproc_highpassfilter	PASS	3	00:10:00	1gb	pass	
test_ft_preproc_lowpassfilter	FAIL	2	00:10:00	1gb	octave-difference	'clim' undefined near line 96, column 1 @ test/test_ft_preproc_lowpassfilter.m:96
test_ft_rejectartifact	FAIL	1	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_ft_rejectcomponent	FAIL	3	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_ft_resampledata	FAIL	8	00:10:00	1gb	dpss-hack	dpss: function called with too many outputs @ external/signal/dpss_hack/dpss.m:-1
test_ft_respiration	FAIL	1	00:10:00	1gb	matlab-only	'envelope' undefined near line 107, column 23 @ ft_respiration.m:107
test_ft_scalpcurrentdensity	FAIL	1	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_ft_selectdata	FAIL	3	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_ft_selectdata_savevar	FAIL	2	00:10:00	1gb	matlab-only	save: Unrecognized option '-nocompression' @ utilities/private/savevar.m:43
test_ft_sourceanalysis	FAIL	1	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_ft_sourcedepth	FAIL	1	00:10:00	1gb	mex	Could not locate the MEX file "ptriproj.mex" @ forward/private/ptriproj.m:34
test_ft_sourceinterpolate	FAIL	1	00:15:00	4gb	mex	zstream.c not compiled - see Makefile @ external/gifti/@gifti/private/zstream.m:25
test_ft_sourceparcellate	FAIL	2	00:10:00	1gb	matlab-only	'pad' undefined near line 1861, column 43  The 'pad' function is not yet implemented in Octave.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ utilities/ft_checkdata.m:1861
test_ft_sourcewrite	PASS	2	00:10:00	1gb	pass	
test_ft_specest_hilbert	PASS	2	00:10:00	1gb	pass	
test_ft_specest_mtmconvol	FAIL	1	00:10:00	1gb	matlab-only	feval: function 'taylorwin' not found @ external/signal/window.m:27
test_ft_specest_mtmfft	FAIL	1	00:10:00	1gb	matlab-only	feval: function 'taylorwin' not found @ external/signal/window.m:27
test_ft_spike_isi	FAIL	2	00:10:00	1gb	graphics	zoom: function called with too many outputs @ ../../../../../../usr/share/octave/8.4.0/m/plot/util/zoom.m:-1
test_ft_spike_jpsth	FAIL	4	00:10:00	1gb	octave-difference	'clim' undefined near line 261, column 3 @ contrib/spike/ft_spike_plot_jpsth.m:261
test_ft_spike_plot_isireturn	FAIL	2	00:10:00	1gb	matlab-only	'mle' undefined near line 159, column 24  The 'mle' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ contrib/spike/ft_spike_isi.m:159
test_ft_spike_plot_raster	FAIL	5	00:10:00	1gb	graphics	zoom: function called with too many outputs @ ../../../../../../usr/share/octave/8.4.0/m/plot/util/zoom.m:-1
test_ft_spike_psth	FAIL	3	00:10:00	1gb	graphics	zoom: function called with too many outputs @ ../../../../../../usr/share/octave/8.4.0/m/plot/util/zoom.m:-1
test_ft_spikedensity	FAIL	5	00:10:00	1gb	octave-difference	'minmax' undefined near line 125, column 27 @ test/test_ft_spikedensity.m:125
test_ft_spiketriggeredspectrum	PASS	15	00:10:00	1gb	pass	
test_ft_statfun_correlationT	FAIL	2	00:20:00	1gb	matlab-only	corr: function called with too many inputs @ ../../../../../../usr/share/octave/8.4.0/m/statistics/corr.m:-1
test_ft_steadystatesimulation	FAIL	4	00:10:00	1gb	matlab-only	'array2table' undefined near line 369, column 18  The 'array2table' function is not yet implemented in Octave.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ ft_steadystatesimulation.m:369
test_ft_timelockbaseline	PASS	2	00:10:00	1gb	pass	
test_ft_timelockgrandaverage	FAIL	17	00:10:00	1gb	octave-difference	Invalid call to var.  Correct usage is:   -- statistics: V = var (X)  -- statistics: V = var (X, W)  -- statistics: V = var (X, W, "all")  -- statistics: V = var (X, W, DIM)  -- statistics: V = var (X, W, VECDIM)  -- statistics: V = var (..., NANFLAG)  -- statistics: [V, M] = var (...) @ ../../../../../../usr/share/octave/8.4.0/m/help/print_usage.m:105
test_ft_timelocksimulation	FAIL	2	00:10:00	1gb	octave-difference	assert (isequal (data1.trial, data2.trial)) failed @ ../../../../../../usr/share/octave/8.4.0/m/testfun/assert.m:107
test_ft_timelockstatistics	FAIL	3	00:10:00	1gb	mex	spm_bwlabel.c not compiled - see Makefile @ external/spm12/spm_bwlabel.m:25
test_ft_volumebiascorrect	FAIL	4	01:00:00	6gb	mex	mat2file.c not compiled - see Makefile @ external/spm12/@file_array/private/mat2file.m:15
test_ft_volumelookup	FAIL	128	00:10:00	1gb	matlab-only	'pad' undefined near line 1861, column 43  The 'pad' function is not yet implemented in Octave.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ utilities/ft_checkdata.m:1861
test_ft_volumereslice	FAIL	3	00:10:00	1gb	octave-difference	fprintf: invalid format specified @ utilities/ft_progress.m:263
