test	outcome	seconds	walltime	mem	message
test_example_bids_meg20220113	PASS	1	00:10:00	2gb	
test_example_coherence_snr20220113	PASS	5	00:10:00	2gb	
test_example_compute_leadfield20220113	FAIL	1	00:10:00	2gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_example_crossfreq20220113	PASS	1	00:10:00	2gb	
test_example_custom_forwinv20220113	FAIL	1	00:20:00	2gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_example_difference_erf20220113	PASS	1	00:10:00	2gb	
test_example_effects_of_tapering20220113	FAIL	2	00:10:00	2gb	dpss: function called with too many outputs @ external/signal/dpss_hack/dpss.m:-1
test_example_entropy_analysis20220113	PASS	1	00:10:00	2gb	
test_example_filter_characteristics20220113	FAIL	1	00:10:00	2gb	'nanmean' undefined near line 158, column 11  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ preproc/ft_preproc_lowpassfilter.m:158
test_example_fooof	PASS	1	00:10:00	1gb	
test_example_fooof20220113	PASS	1	00:10:00	2gb	
test_example_ft_realtime_average20220113	PASS	1	00:10:00	2gb	
test_example_ft_realtime_hilbert20220113	PASS	1	00:10:00	2gb	
test_example_ft_realtime_selectiveaverage20220113	PASS	1	00:10:00	2gb	
test_example_glm_trials20220113	PASS	1	00:10:00	2gb	
test_example_granger_conditional20220113	FAIL	13	00:10:00	2gb	dpss: function called with too many outputs @ external/signal/dpss_hack/dpss.m:-1
test_example_irasa	FAIL	2	00:10:00	1gb	mx_el_and: nonconformant arguments (op1 is 1x2, op2 is 1x3) @ fileio/private/ft_senstype.m:444
test_example_neighbours20220113	FAIL	2	00:10:00	2gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_example_phase_reset20220113	PASS	1	00:10:00	2gb	
test_example_samplesize20220113	FAIL	1	01:30:00	6gb	'strip' undefined near line 63, column 23  The 'strip' function is not yet implemented in Octave.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ utilities/dccnpath.m:63
test_example_simulate_forward_dipolefit	FAIL	1	00:10:00	1gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_example_simulateddata20220113	FAIL	2	00:10:00	2gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_example_simulateddata_beamformer20220113	FAIL	1	00:10:00	2gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_example_simulateddata_clusterstats20220113	FAIL	2	00:10:00	2gb	'nanmean' undefined near line 223, column 16  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ ft_timelockanalysis.m:223
test_example_simulateddata_dipolefit20220113	FAIL	1	00:10:00	2gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_example_sourcemodel_aligned2mni20220113	PASS	1	00:10:00	2gb	
test_example_sourcerecon_meeg20220113	FAIL	1	00:10:00	2gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_example_ssvep20220113	FAIL	1	00:10:00	2gb	'nanmean' undefined near line 156, column 11  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ preproc/ft_preproc_bandpassfilter.m:156
test_example_stratify20220113	PASS	3	00:10:00	2gb	
test_external_images	PASS	2	00:10:00	1gb	
test_external_signal	PASS	4	00:10:00	1gb	
test_external_stats	FAIL	2	00:10:00	1gb	assert (exist (filelist {k}, 'file') == 2 || exist (filelist {k}, 'file') == 3) failed @ ../../../usr/share/octave/8.4.0/m/testfun/assert.m:107
test_falsealarmrate	PASS	12	00:10:00	1gb	
